{ 2,0,0,2,0,0,2} in_90 test 20% win=100 
[data I : 55351 answer: 16.0,forecast :15.454681941260388 (rmse:0.55, mape: 0.07, smape: 0.07) ] 
[data I : 55352 answer: 12.0,forecast :12.872966393293183 (rmse:0.87, mape: 0.08, smape: 0.08) ] 
[data I : 55353 answer: 12.0,forecast :12.687032470242357 (rmse:0.69, mape: 0.06, smape: 0.06) ] 
[data I : 55354 answer: 12.0,forecast :12.292070326924687 (rmse:0.29, mape: 0.03, smape: 0.03) ] 
[data I : 55355 answer: 16.0,forecast :13.448613087946073 (rmse:2.55, mape: 0.16, smape: 0.18) ] 
[data I : 55356 answer: 8.0,forecast :9.352818533570478 (rmse:1.35, mape: 0.19, smape: 0.17) ] 
[data I : 55357 answer: 16.0,forecast :14.908368630808061 (rmse:1.09, mape: 0.08, smape: 0.08) ] 
[data I : 55358 answer: 12.0,forecast :12.453932236720147 (rmse:0.45, mape: 0.04, smape: 0.04) ] 
[data I : 55359 answer: 12.0,forecast :12.688186605247042 (rmse:0.69, mape: 0.06, smape: 0.06) ] 
[data I : 55360 answer: 8.0,forecast :11.652511172235428 (rmse:3.65, mape: 0.46, smape: 0.38) ] 
[data I : 55361 answer: 12.0,forecast :16.43998356791692 (rmse:4.44, mape: 0.41, smape: 0.34) ] 
[data I : 55362 answer: 8.0,forecast :10.254325970454374 (rmse:2.25, mape: 0.33, smape: 0.29) ] 
[data I : 55363 answer: 16.0,forecast :15.581789720211688 (rmse:0.42, mape: 0.05, smape: 0.05) ] 
[data I : 55364 answer: 12.0,forecast :12.344657997217762 (rmse:0.34, mape: 0.03, smape: 0.03) ] 
[data I : 55365 answer: 16.0,forecast :13.158759685396959 (rmse:2.84, mape: 0.18, smape: 0.2) ] 
[data I : 55366 answer: 8.0,forecast :9.573328784308101 (rmse:1.57, mape: 0.22, smape: 0.2) ] 
[data I : 55367 answer: 16.0,forecast :13.622933302975877 (rmse:2.38, mape: 0.16, smape: 0.18) ] 
[data I : 55368 answer: 8.0,forecast :9.36267385095565 (rmse:1.36, mape: 0.19, smape: 0.18) ] 
[data I : 55369 answer: 16.0,forecast :15.41825835059277 (rmse:0.58, mape: 0.05, smape: 0.05) ] 
[data I : 55370 answer: 16.0,forecast :11.215001601833078 (rmse:4.78, mape: 0.3, smape: 0.36) ] 
[data I : 55371 answer: 16.0,forecast :15.514579676850754 (rmse:0.49, mape: 0.05, smape: 0.05) ] 
[data I : 55372 answer: 8.0,forecast :8.463217284219864 (rmse:0.46, mape: 0.06, smape: 0.06) ] 
[data I : 55373 answer: 16.0,forecast :15.486606394544827 (rmse:0.51, mape: 0.04, smape: 0.04) ] 
[data I : 55374 answer: 12.0,forecast :9.308251519738102 (rmse:2.69, mape: 0.23, smape: 0.26) ] 
[data I : 55375 answer: 16.0,forecast :14.47705993661355 (rmse:1.52, mape: 0.11, smape: 0.11) ] 
[data I : 55376 answer: 12.0,forecast :13.38860702411462 (rmse:1.39, mape: 0.12, smape: 0.12) ] 
[data I : 55377 answer: 12.0,forecast :15.510602486757074 (rmse:3.51, mape: 0.3, smape: 0.26) ] 
[data I : 55378 answer: 8.0,forecast :9.394987004888778 (rmse:1.39, mape: 0.21, smape: 0.2) ] 
[data I : 55379 answer: 16.0,forecast :15.419734061331203 (rmse:0.58, mape: 0.05, smape: 0.05) ] 
[data I : 55380 answer: 12.0,forecast :11.773114408976006 (rmse:0.23, mape: 0.02, smape: 0.02) ] 
[data I : 55381 answer: 20.0,forecast :15.026609621670131 (rmse:4.97, mape: 0.25, smape: 0.29) ] 
[data I : 55382 answer: 16.0,forecast :11.616560012108668 (rmse:4.38, mape: 0.29, smape: 0.34) ] 
