{ 0,1,0,2,1,1,2} in_1 test 20% win=100 
[data I : 55362 answer: 150.0forecast :109.35155202709313 (rmse:40.65, mape: 0.27) ] 
[data I : 55363 answer: 245.0forecast :116.65065470969984 (rmse:128.35, mape: 0.52) ] 
[data I : 55364 answer: 266.0forecast :252.4010363256097 (rmse:13.6, mape: 0.05) ] 
[data I : 55365 answer: 270.0forecast :297.69909978795386 (rmse:27.7, mape: 0.1) ] 
[data I : 55366 answer: 254.0forecast :271.48641086659325 (rmse:17.49, mape: 0.07) ] 
[data I : 55367 answer: 183.0forecast :232.4021589188119 (rmse:49.4, mape: 0.27) ] 
[data I : 55368 answer: 229.0forecast :176.46572249597182 (rmse:52.53, mape: 0.23) ] 
[data I : 55369 answer: 191.0forecast :233.83914403499676 (rmse:42.84, mape: 0.23) ] 
[data I : 55370 answer: 133.0forecast :189.71500152617952 (rmse:56.72, mape: 0.43) ] 
[data I : 55371 answer: 108.0forecast :159.02344591785845 (rmse:51.02, mape: 0.48) ] 
[data I : 55372 answer: 95.0forecast :90.93869858507301 (rmse:4.06, mape: 0.05) ] 
[data I : 55373 answer: 104.0forecast :83.70392182402362 (rmse:20.3, mape: 0.2) ] 
[data I : 55374 answer: 108.0forecast :119.45777372907806 (rmse:11.46, mape: 0.11) ] 
[data I : 55375 answer: 83.0forecast :112.21602087624224 (rmse:29.22, mape: 0.35) ] 
[data I : 55376 answer: 95.0forecast :83.90121458714263 (rmse:11.1, mape: 0.12) ] 
[data I : 55377 answer: 120.0forecast :91.7031149770205 (rmse:28.3, mape: 0.24) ] 
[data I : 55378 answer: 108.0forecast :115.26585843209796 (rmse:7.27, mape: 0.07) ] 
[data I : 55379 answer: 116.0forecast :117.0429029906122 (rmse:1.04, mape: 0.01) ] 
[data I : 55380 answer: 112.0forecast :118.0361559546178 (rmse:6.04, mape: 0.05) ] 
[data I : 55381 answer: 183.0forecast :101.5514446570885 (rmse:81.45, mape: 0.45) ] 
[data I : 55382 answer: 175.0forecast :193.06498389442407 (rmse:18.06, mape: 0.11) ] 
[data I : 55383 answer: 191.0forecast :173.60241342402884 (rmse:17.4, mape: 0.09) ] 
[data I : 55384 answer: 162.0forecast :200.89549339088958 (rmse:38.9, mape: 0.24) ] 
[data I : 55385 answer: 133.0forecast :143.03714094028254 (rmse:10.04, mape: 0.08) ] 
[data I : 55386 answer: 100.0forecast :134.21833337464585 (rmse:34.22, mape: 0.34) ] 
[data I : 55387 answer: 200.0forecast :95.48367184594876 (rmse:104.52, mape: 0.52) ] 
[data I : 55388 answer: 245.0forecast :200.58814360589372 (rmse:44.41, mape: 0.18) ] 
[data I : 55389 answer: 237.0forecast :252.27811725427782 (rmse:15.28, mape: 0.07) ] 
