{ 2,0,0,2,0,0,2} in_90 test 20% win=100 
 [data I : 55296 answer: 12.0,forecast :11.938073565984793 (rmse:0.06, mape: 0.01, smape: 0.01) ] 
[data I : 55297 answer: 16.0,forecast :17.238808340851108 (rmse:1.24, mape: 0.08, smape: 0.07) ] 
[data I : 55298 answer: 12.0,forecast :11.279181196480623 (rmse:0.72, mape: 0.07, smape: 0.07) ] 
[data I : 55299 answer: 12.0,forecast :12.992854301964496 (rmse:0.99, mape: 0.09, smape: 0.08) ] 
[data I : 55300 answer: 12.0,forecast :9.031281813184698 (rmse:2.97, mape: 0.25, smape: 0.29) ] 
[data I : 55301 answer: 16.0,forecast :14.893980658395165 (rmse:1.11, mape: 0.09, smape: 0.09) ] 
[data I : 55302 answer: 12.0,forecast :11.772423619720803 (rmse:0.23, mape: 0.03, smape: 0.03) ] 
[data I : 55303 answer: 16.0,forecast :13.694924070697096 (rmse:2.31, mape: 0.15, smape: 0.16) ] 
[data I : 55304 answer: 16.0,forecast :11.528667957634918 (rmse:4.47, mape: 0.29, smape: 0.34) ] 
[data I : 55305 answer: 12.0,forecast :11.693160324880639 (rmse:0.31, mape: 0.05, smape: 0.05) ] 
[data I : 55306 answer: 12.0,forecast :9.772081282868578 (rmse:2.23, mape: 0.19, smape: 0.21) ] 
[data I : 55307 answer: 16.0,forecast :13.867053821405058 (rmse:2.13, mape: 0.15, smape: 0.16) ] 
[data I : 55308 answer: 8.0,forecast :12.118268584756933 (rmse:4.12, mape: 0.53, smape: 0.42) ] 
[data I : 55309 answer: 16.0,forecast :13.391291445579142 (rmse:2.61, mape: 0.2, smape: 0.21) ] 
[data I : 55310 answer: 12.0,forecast :14.923492316531142 (rmse:2.92, mape: 0.26, smape: 0.23) ] 
[data I : 55311 answer: 8.0,forecast :13.081385838040777 (rmse:5.08, mape: 0.67, smape: 0.51) ] 
[data I : 55312 answer: 8.0,forecast :12.02268070656477 (rmse:4.02, mape: 0.59, smape: 0.47) ] 
[data I : 55313 answer: 16.0,forecast :17.840025677363734 (rmse:1.84, mape: 0.15, smape: 0.14) ] 
[data I : 55314 answer: 8.0,forecast :11.67408734895892 (rmse:3.67, mape: 0.48, smape: 0.39) ] 
[data I : 55315 answer: 16.0,forecast :14.575990664829439 (rmse:1.42, mape: 0.12, smape: 0.12) ] 
[data I : 55316 answer: 12.0,forecast :12.73724956772078 (rmse:0.74, mape: 0.07, smape: 0.07) ] 
[data I : 55317 answer: 8.0,forecast :10.969896302725868 (rmse:2.97, mape: 0.38, smape: 0.32) ] 
[data I : 55318 answer: 12.0,forecast :9.494300047157758 (rmse:2.51, mape: 0.24, smape: 0.27) ] 
[data I : 55319 answer: 16.0,forecast :16.602195449755584 (rmse:0.6, mape: 0.05, smape: 0.05) ] 
[data I : 55320 answer: 8.0,forecast :9.575526603301924 (rmse:1.58, mape: 0.2, smape: 0.19) ] 
[data I : 55321 answer: 20.0,forecast :14.490359284346045 (rmse:5.51, mape: 0.29, smape: 0.33) ] 
[data I : 55322 answer: 12.0,forecast :12.177991568964345 (rmse:0.18, mape: 0.04, smape: 0.04) ] 
[data I : 55323 answer: 12.0,forecast :9.033817215913547 (rmse:2.97, mape: 0.25, smape: 0.29) ] 
